card numbers for sorting ([suit sort number]-[suit] [box number] [card number]),Box,Deck,Suit,Name,Traits,Text,Skills,Points
c02-01 Georgiou 21,To Boldly Go,Georgiou,Person,Lt. Detmer,"Starfleet
Human
Pilot","Available
---
Play - Action: Discard the top card of your deck. You may discard a card to warp a Ship and send an Away Team to the Location you warped to.
---
Reaction - After warping a Ship, draw a card.
---
Passive - This card has 1 Wild skill.",???,-
c02-01 Georgiou 22,To Boldly Go,Georgiou,Person,Kamran Gant,"Starfleet
Security
Attack
Human","Available
---
Play - Action: Send an Away Team to a Location. If it is a controlled Location, gain 1 Dilithium.
---
Clean-Up - If there is a Spy in the Market, gain it to your hand, and log this card.
---
Activation - Attack: You may refresh a Ship. For each Directive you have in play: you may remove an opponent Away Team from a Location where you have a Ship.",Military,-
c02-01 Georgiou 23,To Boldly Go,Georgiou,Incident,Hostile Contact,-,"Available
---
Play - Action: Discard a card to return this card. If the discarded card has Military gain, 2 Dilithium.
---
Play - Action: If you have a Communication in play, return this card and gain 2 Dilithium.",-,-2.0
c02-01 Georgiou 24,To Boldly Go,Georgiou,Mission,Call in the Reinforcements,-,"Goal - Have Military at 6+, Have Cmdr. Burnham on duty, and an Incident beamed to the U.S.S. Shenchou.
---
Reward - Scan 1 of Ship and free play the gained card. Gain 3 Dilithium. If you have 1+ Klingon in play (excluding beamed cards), dismiss Cmdr. Burnham and gain 2 Glory.",-,3.0
c02-01 Georgiou 25,To Boldly Go,Georgiou,Mission,Hardly a Negotiation,-,"Goal - Have 3 Person (excluding cards with Starfleet) on the same Ship, and have Research, Influence, and Military all at 1+.
---
Reward - You may enlist a Development. If you have 2+ Vulcan in play, either draw a card OR gain an Action.",-,3.0
c02-01 Georgiou 26,To Boldly Go,Georgiou,Mission,Gazing at the Stars,-,"Goal - Have Research at 7+, and 2 Alien in play.
---
Reward - Enlist Kaminar for free. Draw a card for each Scientist you have in play.",-,3.0
c02-02 Soval 01,To Boldly Go,Soval,Captain,Soval,"Ambassador
Telepath
Vulcan","Captain
---
Away Teams: 4
---
Activation - Dismiss a Human to draw 2 cards.
---
Endgame - Score 1 for each of your Person cards, excluding cards with Vulcan.",-,Endgame
c02-02 Soval 02,To Boldly Go,Soval,Status,Vulcan Science Directorate,-,"Reaction - After putting an Anomaly or a Scientist into play, gain 2 Dilithium or 1 Glory.
---
Passive - After putting a Time Travel into play, log this card.",-,-
c02-02 Soval 03,To Boldly Go,Soval,Location,Vulcan,Vulcan,"Controlled Location
---
Activation - If you have an Away Team here, draw a card. If you have 3+ total Away Teams on 1 or more controlled Location, draw a card.
---
Passive - You may have an additional Person with Vulcan on duty.","Research
Influence",-
c02-02 Soval 04,To Boldly Go,Soval,Location,Mount Seleya,"Transcendent
Vulcan","Development - Cost: 2 Dilithium, and have 1+ Vulcan logged.
---
Play - Action: Take control of this location/
---
Control - Draw a card for each Vulcan in your Log.
---
Activation - Discard a Person to find any card.
---
Endgame - Score 1 for each Telepath you have in play (including your Captain).","Research
Influence",Endgame
c02-02 Soval 05,To Boldly Go,Soval,Directive,Vulcan Hello,"Communication
Attack","Development - Cost: 4 Dilithium.
---
Play - Action, Attack: Dismiss an opponent Ship at a neutral Location and you may send an Away Team to the same Location. If your opponent has Klingon in play, gain 1 Glory.
---
Play - Free, Requires 9 Military: Select a neutral Location no secured by your opponent. Take control of it and log this card.","Military
Military",2.0
c02-02 Soval 06,To Boldly Go,Soval,Person,T'Pau,"Telepath
Vulcan","Development - Cost: 2 Glory.
---
Play - Action: Draw a card. Both players my return an Incident from their hand or Discard pile. For each Incident returned, gain 1 Glory. You may promote a Person from your hand or Staging Area to Duty Officer (can be this card).
---
Passive - This card has 2 Wild Skill Icon.","???
???",4.0
c02-02 Soval 07,To Boldly Go,Soval,Person,Minister Kuvak,Vulcan,"Development - Cost: 2 Latinum.
---
Play - Free: Gain 1 Dilithium for each card you have beamed to a Ship / Location.
---
Passive - Increase your hand size by 1 for every non-Vulcan controlled Location you have in play (max 3).",-,Influence
c02-02 Soval 08,To Boldly Go,Soval,Cargo,Kir'Shara,Path of Surak,"Development - Cost: 2 Dilithium, 1 Latinum, and dismiss a Duty Officer.
---
Play - Free: If you have 7+ Vulcan in play (excluding your Captain), take an Incident to take the top Encounter card. Log this card.",-,Research
c02-02 Soval 09,To Boldly Go,Soval,Directive,Vulcan High Command,Vulcan,"Development - Cost: 3 Dilithium.
---
Play - Free: Send an Away Team to a Location where you have a Ship. you may find a Vulcan.
---
Play - Action: Scan for a Starfleet and draw 2 cards. Log this card.",-,Military
c02-02 Soval 10,To Boldly Go,Soval,Ship,Seleya (D'Kye),Vulcan,"Reserve
---
Play - Action: Deploy and warp this ship. You may discard a card to gain 1 Research.
---
Play - Action, Requires 5 Military: Deploy and warp this ship. You may send an Away Team to this ship's Location.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",-,-
c02-02 Soval 11,To Boldly Go,Soval,Location,Paan Mokar,"Andorian
Vulcan","Reserve
---
Play - Action: Take control of this location.
---
Control - You may free play a Cargo or a Ship.
---
Clean-Up - If there are no Away Teams here, dismiss this card.
---
Activation - Discard a card with at least one of Weapon / Military Skill / Military Focus to send an Away Team here and gain 1 Influence.
---
Endgame - Score 4 if 2 or more Away Teams are here.",-,Endgame
c02-02 Soval 12,To Boldly Go,Soval,Person,V'Lar,"Ambassador
Vulcan","Reserve
---
Play - Action: Spend 1 Latinum to gain an Ally to your hand.
---
play - Free: Take an Incident to draw a card and send an Away Team to a Location where you have a Ship.
---
Reaction - After putting an Ally into play, draw a card, gain 1 Glory and 1 Latinum.",Influence,-
c02-02 Soval 13,To Boldly Go,Soval,Cargo,Plomeek Tea,"Beverage
Vulcan","Reserve
---
Play - Action: you may refresh you Captain and a Duty Officer. You may spend 1 Latinum to swap a card in the Junk with the card of the same suit in the Market.
---
Play - Gain 1 Latinum.",-,-
c02-02 Soval 14,To Boldly Go,Soval,Incident,Energy Drain,-,"Reserve
---
Play - Action: Spend 2 Dilithium to return this card. If you have an Engineer in play, gain an Action.",-,-2.0
c02-02 Soval 15,To Boldly Go,Soval,Person,Stel,"Security
Vulcan
Attack","Available
---
Play - Action: Send an Away Team to a controlled Location. You may beam a card to a deployed Ship.
---
Play - Free, Attack: Force your opponent to dismiss a Romulan / Andorian. If they do, gain 1 Glory. You may log a card from your hand or Discard pile.
---
Activation - You may exhaust a deployed Ship to recall a card beamed to it. You may free play an Incident.",-,-
c02-02 Soval 16,To Boldly Go,Soval,Person,Muroc,Vulcan,"Available
---
Play - Action: Choose 2 of the following: gain 1 Influence OR gain 1 Military OR send an Away Team to a Location where you have a Ship. If you have 6+ Influence you may choose all 3 instead. If you do, log this card.
---
Activation - Free play a Ship with Vulcan
---
Activation - Draw a Ship from your Discard pile.",Military,-
c02-02 Soval 17,To Boldly Go,Soval,Directive,Analyse,-,"Available
---
Play - Action: Take an Incident to gain a Ship.
---
Play - Action - Discard 2 cards to gain a Cargo.
---
Play - Free: Gain 2 Dilithium.",-,-
c02-02 Soval 18,To Boldly Go,Soval,Directive,Recruit,-,"Available
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c02-02 Soval 19,To Boldly Go,Soval,Directive,Infinite Diversity in Infinite Combinations,Path of Surak,"Available
---
Play - Action: You may remove an Away Team from a controlled Location, log a non-Vulcan Person / Cargo / Ally from your Staging Area, and dismiss a deployed Ship. If you do all three, look at the top 2 Encounter. Take on of them and put it on the top of your deck, and return the other to the bottom of its deck.",-,-
c02-02 Soval 20,To Boldly Go,Soval,Directive,Advidory,-,"Available
---
Play - Free: Spend 1 Dilithium to gain 1 Influence and draw a card. You may beam a Human to a deployed Ship.
---
Play - Action: Scan 2 of Person. Log this card.",-,-
c02-02 Soval 21,To Boldly Go,Soval,Person,Sub-Commander T'Pol,"Starfleet
Scientist
Telepath
Vulcan","Available
---
Play - Action: You may spend 2 Dilithium to scan for either Research Skill, Influence Skill, or Military Skill. You may draw a card. You may promote a Person from your hand or Staging Area to Duty Officer (can be this card).
---
Resupply - Gain 1 Dilithium OR spend 1 Dilithium to gain 1 Research.
---
Activation - Discard a Human / Engineer to draw a Cargo / Directive from your Discard pile.",Research,-
c02-02 Soval 22,To Boldly Go,Soval,Ally,United Earth,Human,"Available
---
Play - Action: Scan for a Human. Log this card.
---
Play - Action: Take an Incident to scan 2 of Ally. You may free play the gained card. If you do, log this card.",-,-
c02-02 Soval 23,To Boldly Go,Soval,Directive,Utilise,-,"Available
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c02-02 Soval 24,To Boldly Go,Soval,Ship,Ti'Mur,Vulcan,"Discard
---
Play - Action: Deploy this ship. You may discard a card to gain 1 Military.
---
Play - Action, Requires 5 Research: Deploy and warp this ship. You may send an Away Team to this ship's Location.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,-
c02-02 Soval 25,To Boldly Go,Soval,Mission,My Mind to Your Mind,-,"Goal - Have 5 cards with Research / Wild Skill Icon in play (excluding beamed cards).
---
Reward - For each Telepath you have in play, either: draw a card OR gain 1 Latinum and you may return an Incident.",-,2.0
c02-02 Soval 26,To Boldly Go,Soval,Mission,Cooperation with Starfleet,-,"Goal - Have 3 Ship deployed, 3 Starfleet beamed, and 1 Encounter in play.
---
Reward - Scan for either Human or Starfleet. You may send 1 Away Team each to up to 3 different Location.",-,4.0
c02-02 Soval 27,To Boldly Go,Soval,Mission,The Needs of the Many,-,"Goal - Have 5 Person and 2 Ally in play. Have Influence at 5+.
---
Reward - Gain an Action. You may recall up to 2 beamed cards. You may log a Duty Officer to enlist a Development.",-,3.0
c02-03 Kirk 01,To Boldly Go,Kirk,Captain,James T. Kirk,"Starfleet
Human","Captain
---
Away Teams: 5
---
Reaction - After putting a Klingon into play, discard a card to gain 1 Military.
---
Activation - Put a card on the top of your deck to draw a Directive from your Discard pile.
---
Endgame - Score 1 for every second step gained on Research / Influence / Military, whichever is the lowest.",-,Endgame
c02-03 Kirk 02,To Boldly Go,Kirk,Ship,U.S.S. Enterprise (Refit),Starfleet,"Deployed
---
Play - Action: Deploy this ship. Warp this ship OR beam a card here.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",Wild,-
c02-03 Kirk 03,To Boldly Go,Kirk,Location,Starfleet Headquarters,Starfleet,"Controlled Location
---
Special - When you log this card, up to X time, where X is the sequence number on the current Stardate card: send an Away Team to a Location.",Wild,-
c02-03 Kirk 04,To Boldly Go,Kirk,Directive,What Have I Done,Attack,"Development - Cost: 3 Latinum.
---
Play - Action, Attack: Log a deployed Ship to send up to 3 Away Teams to the same Location. If that Location is neutral and now secured, take control of it. Your opponent takes an Incident. Force you opponent to dismiss (one of) their Duty Officer(s). Log this card.",4.0,-
c02-03 Kirk 05,To Boldly Go,Kirk,Ship,U.S.S. Enterprise-A,Starfleet,"Development - Cost: 6 Dilithium, OR free if the U.S.S. Enterprise (Refit) is logged.
---
Play - Action: Deploy this ship. Warp this ship OR beam a card here. You may discard a card to beam a (different) card here.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.","Wild
Wild",4.0
c02-03 Kirk 06,To Boldly Go,Kirk,Ship,U.S.S. Excelsior,"Starfleet
Attack","Development - Cost: 6 Dilithium OR free if Hikaru Sulu if your Duty Officer.
---
Play - Action, Attack: Deploy this ship. IF the opponent has at least one Ship at a neutral Location, they take an Incident. You may find Set a Course.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Spend 1 Dilithium to recall this ship.","Wild
Wild",Military
c02-03 Kirk 07,To Boldly Go,Kirk,Person,Hikaru Sulu,"Starfleet
Human
Pilot","Development - Cost: 2 Dilithium.
---
Play - Action: Take an Incident to you Discard pile. Send 2 Away Teas to a Location where you have a Ship.
---
Reaction - When you would be attacked, exhaust a Ship to ignore the negative effect.",Military,2.0
c02-03 Kirk 08,To Boldly Go,Kirk,Person,Sarek,"Ambassador
Telepath
Vulcan","Development - Cost: 1 Dilithium, 1 Latinum.
---
Play - Action: Gain 1 for each Vulcan you have in play (including this card). You may promote Sarek and optionally another Person from your Staging Area to Duty Officer(s).
---
Passive - You may have up to two additional Person on duty.",Influence,2.0
c02-03 Kirk 09,To Boldly Go,Kirk,Location,Vulcan,Vulcan,"Development - Cost: 4 Dilithium.
---
Play - Action, Requires 4 Research: Take control of this location.
---
Control - You my find a Vulcan. You may draw Utilise from your Discard pile. You may free play an Incident.
---
Endgame - Score ? equal to your highest multiplier on your Specialty tracks.","Research
Research","Endgame
Influence"
c02-03 Kirk 10,To Boldly Go,Kirk,Directive,Time Warp,"Time Travel
Anomaly","Development - Cost: 2 Dilithium, and take an Incident.
---
Play - Free: Find any card.
---
Play - Free: Recall a non-Time Travel card from your Staging Area.",-,Research
c02-03 Kirk 11,To Boldly Go,Kirk,Ship,H.M.S. Bounty,"Klingon
Cloak","Reserve
---
Play - Free: Deploy this Ship.
---
Play - Free, Requires 5 Influence: Deploy this ship. You may discard an Incident to send an Away Team to a Location, ignoring any opponent Ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,-
c02-03 Kirk 12,To Boldly Go,Kirk,Person,"Montgomery ""Scotty"" Scott","Starfleet
Engineer
Human","Reserve
---
Play - Free: Find a Ship. If the card was found in your Reserve deck, take an Incident.
---
Play - Action: Dismiss a deployed Ship to trigger a controlled Location's control operation and draw a card.
---
Activation - Gain 2 Dilithium. Refresh a Ship / Cargo.",-,-
c02-03 Kirk 13,To Boldly Go,Kirk,Person,Pavel Chekov,"Starfleet
Attack
Human
Ops","Reserve
---
Play - Action, Attack: Discard the top card of your deck. Send an Away Team to a Location. If your opponent has at least one Away Team at the same Location, force them to discard a card.
---
Reaction - After warping a Ship to a Neutral Location, discard a Person to send an Away Team to the same location, and gain 1 Glory.",-,-
c02-03 Kirk 14,To Boldly Go,Kirk,Directive,Analyse,-,"Reserve
---
Play - Action: Take an Incident to gain a Ship.
---
Play - Action - Discard 2 cards to gain a Cargo.
---
Play - Free: Gain 2 Dilithium.",-,-
c02-03 Kirk 15,To Boldly Go,Kirk,Directive,Needs of the Many,-,"Reserve
---
Play - Free: Dismiss a deployed Ship or a Duty Officer, then log the dismissed card to enlist a Person from your Development pile. Log this card.",-,-
c02-03 Kirk 16,To Boldly Go,Kirk,Incident,Subspace Phenomenon,-,"Available
---
Play - Action: Discard a card to return this card. If the discarded card has Research draw 2 cards and discard one of them.
---
Play - Action: If you have a Time-Travel in play, return this card and draw 2 cards and discard one of them.",-,-2.0
c02-03 Kirk 17,To Boldly Go,Kirk,Cargo,Levitation Boots,Ongoing,"Available
---
Play - Free: Deploy this card. You may beam up to 3 Person from your hand or Discard pile here.
---
Activation - Recall a Person beamed here.
---
Activation - Spend 1 Dilithium to beam a Person here from your hand or Discard pile.
---
Passive - If no cards are beamed here, dismiss this card.",,
c02-03 Kirk 18,To Boldly Go,Kirk,Directive,Recruit,-,"Available
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c02-03 Kirk 19,To Boldly Go,Kirk,Directive,Utilise,-,"Available
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c02-03 Kirk 20,To Boldly Go,Kirk,Directive,Set a Course,-,"Available
---
Play - Action: Discard up to 3 Person to send the same number of Away Teams to the same Location.
---
Play - Free: Draw a card, then discard a card. Warp up to 2 of your Ship.",-,-
c02-03 Kirk 21,To Boldly Go,Kirk,Directive,Strange New Worlds,-,"Available
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",-,-
c02-03 Kirk 22,To Boldly Go,Kirk,Person,Nyota Uhura,"Communication
Starfleet
Human","Available
---
Play - Action: Spend 2 Dilithium to gain a Person / Ally.
---
Play - Action, Requires 5 Influence: Spend 2 Dilithium to gain an Alien, including from the Junk.
---
Activation - For each Different Species you have in play, excluding cards with Starfleet (max 3 times) you may spend 1 Dilithium to gain 1 Glory.",Influence,-
c02-03 Kirk 23,To Boldly Go,Kirk,Person,Leonard McCoy,"Starfleet
Doctor
Human","Available
---
Play - Action: Gain 1 Research. You may return an Incident.
---
Reaction - After discarding or logging a Person during your Action Step, free play an Incident from you hand or Discard pile.",-,-
c02-03 Kirk 24,To Boldly Go,Kirk,Person,Captain Spock,"Starfleet
Scientist
Telepath
Vulcan
Human","Available
---
Play - Action: Log a card from your hand or Discard pile to gain 3 Dilithium. If the logged card has 1+ Research / Influence / Military (Skill or Focus), gain 1 on the matching Speciality track (choose one if multiple, or if it has Wild).
---
Reaction - After gaining a Person, Spend 1 Dilithium to send an Away Team to a Location where you have a Ship. If you do, gain 1 Glory.",Research,-
c02-03 Kirk 25,To Boldly Go,Kirk,Directive,Maximum Warp,-,"Available
---
Play - Free: Draw 2 cards and discard one of the drawn cards. You may Warp a Ship.",-,-
c02-03 Kirk 26,To Boldly Go,Kirk,Mission,Where No Man Has Gone Before,-,"Goal - Have 2 Encounter on the same Ship, and Research at 4+.
---
Reward - Take the top Encounter. Remove 2 Glory from the Stardate card.",-,4.0
c02-03 Kirk 27,To Boldly Go,Kirk,Mission,The Undiscovered Country,-,"Goal - Have 3 of the same Any Species (excluding cards with Human / Starfleet) in play and Influence at 4+.
---
Reward - Enlist a Development for free.",-,1.0
c02-03 Kirk 28,To Boldly Go,Kirk,Mission,Search for Spock,-,"Goal - Have Captain Spock logged, the H.M.S. Bounty in play, 5 Person in play, and Military at 4+.
---
Reward - Draw Captain Spock from your Log, and you may free play Captain Spock. You may find an Incident and return it. Gain an Action. Dismiss the H.M.S. Bounty.",-,4.0
c03-01 Pike 01,Second Contact,Pike,Captain,Christopher Pike,"Time Travel
Starfleet
Human","Captain
---
Away Teams: 4+
---
Reaction - After putting a Time Travel into play, log an Incident (from your hand) to gain 1 Glory.
---
Passive - Operations that find, free play, or return Incident from your hand can also target cards from your Log.",-,Influence
c03-01 Pike 02,Second Contact,Pike,Status,"Improbable, Unstoppable, Sensational",-,"Status
---
Clean-Up - If you have no Shady / Attack in play, gain 1 Influence; otherwise spend 1 Glory, if able.
---
Reaction - After you put a card with one of more Skill Icons into play (excluding beaming), gain 1 on that Specialty track matching one of those icons.",-,-
c03-01 Pike 03,Second Contact,Pike,Location,Starbase One,"Starfleet
Starbase","Controlled Location
---
Away Teams: 1
---
Control - Gain an Action.
---
Activation - For Every 2 Ship you have in play, draw a card (max 3 cards).
---
Activation - Promote a Person from your have to Duty Officer.",,
c03-01 Pike 04,Second Contact,Pike,Person,Lt. Scott,"Starfleet
Engineer
Human","Development - Cost: 3 Dilithium, and have enlisted Pelia.
---
Play - Free: Dismiss a deployed Ship to trigger a controlled Location's control operation. You may exhaust a Ship to draw 2 cards and discard one of them.
---
Activation - Gain 2 Dilithium. Then, either find a Ship OR refresh a Ship.
---
Activation - Discard a card to refresh a Location.",Research,2.0
c03-01 Pike 05,Second Contact,Pike,Ally,Talosians,Telepath,"Development - Cost: 3 Dilithium, 1 Latinum.
---
Play - Free: Select one of Person / Cargo / Ship / Ally. You may swap a card of the selected suit between the Market and the Junk. You may draw a card of the selected suit from your Discard pile.
---
Play - Free: Draw 2 cards for each Telepath you have in play (max 6 cards), then put 1 card on the top of your deck for each Telepath you have in play.",-,3.0
c03-01 Pike 06,Second Contact,Pike,Ally,Kherkovians,"Anomaly
Doctor
Alien","Development - Cost: 3 Dilithium, and take an Incident.
---
Play - Free: Find a card with multiple Different Species.
---
Play - Action, Requires 9 Research: Scan 2 of either Person, Cargo, or Ally. Gain 1 Glory for each Different Species on the gained card. Gain 1 Glory if you have another Doctor in play. Log this card.",-,Research
c03-01 Pike 07,Second Contact,Pike,Location,Rigel VII,-,"Development - Cost: 2 Dilithium, 2 Latinum.
---
Play - Action: Take control of this location.
---
Control - Draw a card. You may beam a card here from your hand or Discard pile.
---
Clean-Up - You may beam a card here from your hand or Staging Area. Gain 1 Dilithium for each card beamed here.
---
Activation - Action: Draw a card. Log all cards beamed here. For every 2 card logged this way, gain 1 Glory.",-,Influence
c03-01 Pike 08,Second Contact,Pike,Person,Pelia,"Starfleet
Engineer","Development - Cost: 3 Latinum OR free if Hemmer is logged.
---
Play - Free: You may find and free play a Cargo.
---
Activation - Action: Discard a card to gain a Cargo from the Junk. You may spend 1 Latinum to draw a card and gain 1 Glory.
---
Special - While this card is in play (excluding beamed) and you have another Engineer in play, this card is additionally treated as Wildcard.",-,3.0
c03-01 Pike 09,Second Contact,Pike,Person,James Kirk (United Earth Fleet),"Time Travel
Human","Development - Cost: 2 Dilithium, and have 2 Incident logged.
---
Play - Free: You may draw a Directive from your Discard pile. You may free play a Directive.
---
Play - Action: Take an Incident to scan 3 of Person and draw a card.
---
Activation - Action: Discard a Person to gain a Person / Ship. Draw a card. Dismiss this card.",Military,2.0
c03-01 Pike 10,Second Contact,Pike,Person,Marie Batel,"Starfleet
Human","Development - Cost: 3 Dilithium.
---
Play - Free: Free play a Starfleet.
---
Play - Free: Promote Marie Batel and a Person from your hand, Staging Area, or your Discard pile to Duty Officers.
---
Activation - Refresh Improbable, Unstoppable, Sensational.
---
Passive - You may have an additional Person on duty.",-,Influence
c03-01 Pike 11,Second Contact,Pike,Person,Dak'Rah,"Ambassador
Klingon","Reserve
---
Play - Action: Take an Incident to scan 1 of Ally.
---
Resupply - You may lose 1 Military to gain 3 Influence.
---
Clean-Up - If you have a Weapon in play, log this card and gain 1 Glory.",-,-
c03-01 Pike 12,Second Contact,Pike,Person,Christine Chapel,"Doctor
Human","Reserve
---
Play - Action: Free play an Incident. If you do, you may beam this card to a deployed ship to sand an Away Team to its Location.
---
Play - Action, Requires 6 Research: Scan for a Doctor. Draw a card.
---
THIS CARD CANNOT BE PROMOTED.",Research,-
c03-01 Pike 13,Second Contact,Pike,Person,"Una ""Number One"" Chin-Riley","Starfleet
Augment","Reserve
---
Play - Action: Discard a Starfleet to gain a Ship. You may discard a card to free play the gained card. Then, if you have no other Augment in play, take an Incident.
---
Resupply - If able, duplicate a resupply operation of a Person in your Discard pile.
---
Activation - Action: Discard a card to send an Away Team to a Location.",-,-
c03-01 Pike 14,Second Contact,Pike,Incident,Political Crisis,-,"Reserve
---
Play - Action: Discard a card to return this card. If the discarded card has Influence, gain 1 Latinum.
---
Play - Action: If you have an Ambassador in play, return this card and gain 1 Latinum.",-,-2.0
c03-01 Pike 15,Second Contact,Pike,Cargo,Time Crystal,Time Trave,"Reserve
---
Play - Free: Discard a card to recall a non-Time Travel card from you Staging Area. Log a Time Travel from play (can be this card).
---
Play - Free: Take an Incident to duplicate a play operation of a Person or Ally from your Development pile.",-,-
c03-01 Pike 16,Second Contact,Pike,Directive,Hit It,-,"Available
---
Play - Free: Draw 2 cards and discard one of the drawn cards. You may warp a Ship.
---
Play - Free: If the U.S.S. Enterprise is at a controlled Location, take an Incident to trigger that card's control operation.",-,-
c03-01 Pike 17,Second Contact,Pike,Directive,Knowledge of a Terrible Fate,"Time Travel
Surprise
Ongoing","Available
---
Play - Action: Deploy this card.
---
Resupply - Junk a Person / Ally from your Development pile.
---
Activation - Log an Encounter (from your hand) to destroy this card.
---
Reaction - After taking an Incident, draw 2 cards.
---
Surprise - (Bot Only): Gain 1 Glory. Discard the bottom card of the Supplement deck. Destroy this card.",-,-4.0
c03-01 Pike 18,Second Contact,Pike,Directive,Strange New Worlds,-,"Available
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",-,-
c03-01 Pike 19,Second Contact,Pike,Ship,U.S.S. Enterprise,Starfleet,"Available
---
Play - Action: Deploy this ship. Warp this ship OR beam a card here.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer to refresh Improbable, Unstoppable, Sensational.",Wild,-
c03-01 Pike 20,Second Contact,Pike,Person,Hemmer,"Starfleet
Telepath
Engineer
Aenar","Available
---
Play - Action: Spend 3 Dilithium to gain a Ship from the top of the deck, if it is Attack, take an Incident.
---
Resupply - Gain 1 Dilithium. You may recall a card beamed to a Ship.
---
Activation - Action: You may free play an Incident. Log this card to select a secured neutral Location and take control of it.",Research,-
c03-01 Pike 21,Second Contact,Pike,Person,Lt. Spock,"Starfleet
Scientist
Telepath
Vulcan
Human","Available
---
Play - Action: Log a card from your hand to gain 3 Dilithium and gain 1 Research / Influence / Military. If the logged card has Military Skill / Focus gain 1 (additional) Influence.
---
Resupply - If you have more Research than Influence, exhaust this card to either: gain 1 Glory OR draw a card.
---
Activation - Discard a Research Skill / Focus to find any card, except in your Reserve deck.",Research,-
c03-01 Pike 22,Second Contact,Pike,Person,La'an Noonien Singh,"Starfleet
Security
Human","Available
---
Play - Action: Take an Incident to scan 1 of Cargo. For each controlled Location where you have an Away Team, draw a card. If you have 2+ Away Teams on a neutral Location, gain 1 Military.
---
Activation - Beam a card to a Ship.
---
Passive - If you have an Weapon in play, all Military Skill on your cards are treaded as Wild Skill instead.",Military,-
c03-01 Pike 23,Second Contact,Pike,Person,Joseph M'Benga,"Starfleet
Doctor
Weapon
Human","Available
---
Play - Action: Gain 1 Research. You may return an Incident. Junk a Person from the Market, if able. If you do both, gain 1 Glory.
---
Resupply - Requires 5 Military: You may send an Away Team to a Location where you have a Ship.
---
Reaction - After discard a card with Military / Wild Skill during your action step, return an Incident from your hand or Discard pile.",Military,-
c03-01 Pike 24,Second Contact,Pike,Person,Cadet Uhura,"Communication
Starfleet
Human","Available
---
Play - Action: Spend 2 Dilithium to gain a Person / Ally.
---
Play - Action, Requires 5 Influence: Spend 2 Dilithium to gain an Alien, including from the Junk.
---
Reaction - After exhausting Improbable, Unstoppable, Sensational, discard a card to draw a card from your Discard pile.",-,-
c03-01 Pike 25,Second Contact,Pike,Directive,Negotiate,-,"Discard
---
Play - Free: Gain 1 Latinum or 2 Dilithium. You may discard up to 3 Cargo / Ship / Ally. Gain 1 Latinum and 1 Dilithium for each card discarded this way. You may find an Encounter.",-,-
c03-01 Pike 26,Second Contact,Pike,Person,Erica Ortegas,"Starfleet
Human
Pilot","Discard
---
Play - Action: Select a Ship and warp it. You may spend 1 Dilithium to send an Away Team to its Location. You may take an Incident to send an Away Team to the same Location.
---
Resupply - You may warp a Ship to gain 1 Dilithium.
---
Reaction - After deploying a Ship, you may discard a card to gain 1 Glory, and you may discard a card to find Hit It.",Military,-
c03-01 Pike 27,Second Contact,Pike,Mission,Weight of the Future,-,"Goal - Have 4 Time Travel in play (excluding your Captain) and deployed 2 Ongoing.
---
Reward - Up to twice, return an Incident from your hand, Discard pile, or Log. For each Incident returned this way, draw a card.",-,3.0
c03-01 Pike 28,Second Contact,Pike,Mission,Boy Scout,-,"Goal - Have 7 Person in play and Influence at 7+.
---
Reward - Scan 2 of Ally. Refresh a card for each non-Starfleet Person you have in play.",-,4.0
c03-01 Pike 29,Second Contact,Pike,Mission,To Explore,-,"Goal - Have 2 Encounter in play, and have 3 Starfleet and an Alien / Anomaly at the same neutral Location.
---
Reward - Take control of the Location used to fulfil the goal. Remove 1 Glory from the Stardate card.",-,2.0
